Depto_Cod1;Depto_Cod2;Departamento;Munpio_Cod1;Munpio_Cod2;Municipio
05;5;Antioquia;05001;5001;Medellín
05;5;Antioquia;05002;5002;Abejorral
05;5;Antioquia;05004;5004;Abriaquí
05;5;Antioquia;05021;5021;Alejandría
05;5;Antioquia;05030;5030;Amagá
05;5;Antioquia;05031;5031;Amalfi
05;5;Antioquia;05034;5034;Andes
05;5;Antioquia;05036;5036;Angelópolis
05;5;Antioquia;05038;5038;Angostura
05;5;Antioquia;05040;5040;Anorí
05;5;Antioquia;05042;5042;Santafé de Antioquia
05;5;Antioquia;05044;5044;Anza
05;5;Antioquia;05045;5045;Apartadó
05;5;Antioquia;05051;5051;Arboletes
05;5;Antioquia;05055;5055;Argelia
05;5;Antioquia;05059;5059;Armenia
05;5;Antioquia;05079;5079;Barbosa
05;5;Antioquia;05086;5086;Belmira
05;5;Antioquia;05088;5088;Bello
05;5;Antioquia;05091;5091;Betania
05;5;Antioquia;05093;5093;Betulia
05;5;Antioquia;05101;5101;Ciudad Bolívar
05;5;Antioquia;05107;5107;Briceño
05;5;Antioquia;05113;5113;Buriticá
05;5;Antioquia;05120;5120;Cáceres
05;5;Antioquia;05125;5125;Caicedo
05;5;Antioquia;05129;5129;Caldas
05;5;Antioquia;05134;5134;Campamento
05;5;Antioquia;05138;5138;Cañasgordas
05;5;Antioquia;05142;5142;Caracolí
05;5;Antioquia;05145;5145;Caramanta
05;5;Antioquia;05147;5147;Carepa
05;5;Antioquia;05148;5148;El Carmen de Viboral
05;5;Antioquia;05150;5150;Carolina
05;5;Antioquia;05154;5154;Caucasia
05;5;Antioquia;05172;5172;Chigorodó
05;5;Antioquia;05190;5190;Cisneros
05;5;Antioquia;05197;5197;Cocorná
05;5;Antioquia;05206;5206;Concepción
05;5;Antioquia;05209;5209;Concordia
05;5;Antioquia;05212;5212;Copacabana
05;5;Antioquia;05234;5234;Dabeiba
05;5;Antioquia;05237;5237;Don Matías
05;5;Antioquia;05240;5240;Ebéjico
05;5;Antioquia;05250;5250;El Bagre
05;5;Antioquia;05264;5264;Entrerrios
05;5;Antioquia;05266;5266;Envigado
05;5;Antioquia;05282;5282;Fredonia
05;5;Antioquia;05284;5284;Frontino
05;5;Antioquia;05306;5306;Giraldo
05;5;Antioquia;05308;5308;Girardota
05;5;Antioquia;05310;5310;Gómez Plata
05;5;Antioquia;05313;5313;Granada
05;5;Antioquia;05315;5315;Guadalupe
05;5;Antioquia;05318;5318;Guarne
05;5;Antioquia;05321;5321;Guatapé
05;5;Antioquia;05347;5347;Heliconia
05;5;Antioquia;05353;5353;Hispania
05;5;Antioquia;05360;5360;Itagui
05;5;Antioquia;05361;5361;Ituango
05;5;Antioquia;05364;5364;Jardín
05;5;Antioquia;05368;5368;Jericó
05;5;Antioquia;05376;5376;La Ceja
05;5;Antioquia;05380;5380;La Estrella
05;5;Antioquia;05390;5390;La Pintada
05;5;Antioquia;05400;5400;La Unión
05;5;Antioquia;05411;5411;Liborina
05;5;Antioquia;05425;5425;Maceo
05;5;Antioquia;05440;5440;Marinilla
05;5;Antioquia;05467;5467;Montebello
05;5;Antioquia;05475;5475;Murindó
05;5;Antioquia;05480;5480;Mutatá
05;5;Antioquia;05483;5483;Nariño
05;5;Antioquia;05490;5490;Necoclí
05;5;Antioquia;05495;5495;Nechí
05;5;Antioquia;05501;5501;Olaya
05;5;Antioquia;05541;5541;Peñol
05;5;Antioquia;05543;5543;Peque
05;5;Antioquia;05576;5576;Pueblorrico
05;5;Antioquia;05579;5579;Puerto Berrío
05;5;Antioquia;05585;5585;Puerto Nare
05;5;Antioquia;05591;5591;Puerto Triunfo
05;5;Antioquia;05604;5604;Remedios
05;5;Antioquia;05607;5607;Retiro
05;5;Antioquia;05615;5615;Rionegro
05;5;Antioquia;05628;5628;Sabanalarga
05;5;Antioquia;05631;5631;Sabaneta
05;5;Antioquia;05642;5642;Salgar
05;5;Antioquia;05647;5647;San Andrés de Cuerquía
05;5;Antioquia;05649;5649;San Carlos
05;5;Antioquia;05652;5652;San Francisco
05;5;Antioquia;05656;5656;San Jerónimo
05;5;Antioquia;05658;5658;San José de La Montaña
05;5;Antioquia;05659;5659;San Juan de Urabá
05;5;Antioquia;05660;5660;San Luis
05;5;Antioquia;05664;5664;San Pedro
05;5;Antioquia;05665;5665;San Pedro de Uraba
05;5;Antioquia;05667;5667;San Rafael
05;5;Antioquia;05670;5670;Guarne
05;5;Antioquia;05674;5674;San Vicente
05;5;Antioquia;05679;5679;Santa Bárbara
05;5;Antioquia;05686;5686;Santa Rosa de Osos
05;5;Antioquia;05690;5690;Santo Domingo
05;5;Antioquia;05697;5697;El Santuario
05;5;Antioquia;05736;5736;Segovia
05;5;Antioquia;05756;5756;Sonson
05;5;Antioquia;05761;5761;Sopetrán
05;5;Antioquia;05789;5789;Támesis
05;5;Antioquia;05790;5790;Tarazá
05;5;Antioquia;05792;5792;Tarso
05;5;Antioquia;05809;5809;Titiribí
05;5;Antioquia;05819;5819;Toledo
05;5;Antioquia;05837;5837;Turbo
05;5;Antioquia;05842;5842;Uramita
05;5;Antioquia;05847;5847;Urrao
05;5;Antioquia;05854;5854;Valdivia
05;5;Antioquia;05856;5856;Valparaíso
05;5;Antioquia;05858;5858;Vegachí
05;5;Antioquia;05861;5861;Venecia
05;5;Antioquia;05873;5873;Vigía del Fuerte
05;5;Antioquia;05885;5885;Yalí
05;5;Antioquia;05887;5887;Yarumal
05;5;Antioquia;05890;5890;Yolombó
05;5;Antioquia;05893;5893;Yondó
05;5;Antioquia;05895;5895;Zaragoza
08;8;Atlántico;08001;8001;Barranquilla
08;8;Atlántico;08078;8078;Baranoa
08;8;Atlántico;08137;8137;Campo de La Cruz
08;8;Atlántico;08141;8141;Candelaria
08;8;Atlántico;08296;8296;Galapa
08;8;Atlántico;08372;8372;Juan de Acosta
08;8;Atlántico;08421;8421;Luruaco
08;8;Atlántico;08433;8433;Malambo
08;8;Atlántico;08436;8436;Manatí
08;8;Atlántico;08520;8520;Palmar de Varela
08;8;Atlántico;08549;8549;Piojó
08;8;Atlántico;08558;8558;Polonuevo
08;8;Atlántico;08560;8560;Ponedera
08;8;Atlántico;08573;8573;Puerto Colombia
08;8;Atlántico;08606;8606;Repelón
08;8;Atlántico;08634;8634;Sabanagrande
08;8;Atlántico;08638;8638;Sabanalarga
08;8;Atlántico;08675;8675;Santa Lucía
08;8;Atlántico;08685;8685;Santo Tomás
08;8;Atlántico;08758;8758;Soledad
08;8;Atlántico;08770;8770;Suan
08;8;Atlántico;08832;8832;Tubará
08;8;Atlántico;08849;8849;Usiacurí
11;11;Bogotá, D.C.;11001;11001;Bogotá, D.C.
13;13;Bolívar;13001;13001;Cartagena
13;13;Bolívar;13006;13006;Achí
13;13;Bolívar;13030;13030;Altos del Rosario
13;13;Bolívar;13042;13042;Arenal
13;13;Bolívar;13052;13052;Arjona
13;13;Bolívar;13062;13062;Arroyohondo
13;13;Bolívar;13074;13074;Barranco de Loba
13;13;Bolívar;13140;13140;Calamar
13;13;Bolívar;13160;13160;Cantagallo
13;13;Bolívar;13188;13188;Cicuco
13;13;Bolívar;13212;13212;Córdoba
13;13;Bolívar;13222;13222;Clemencia
13;13;Bolívar;13244;13244;El Carmen de Bolívar
13;13;Bolívar;13248;13248;El Guamo
13;13;Bolívar;13268;13268;El Peñón
13;13;Bolívar;13300;13300;Hatillo de Loba
13;13;Bolívar;13430;13430;Magangué
13;13;Bolívar;13433;13433;Mahates
13;13;Bolívar;13440;13440;Margarita
13;13;Bolívar;13442;13442;María La Baja
13;13;Bolívar;13458;13458;Montecristo
13;13;Bolívar;13468;13468;Mompós
13;13;Bolívar;13473;13473;Morales
13;13;Bolívar;13549;13549;Pinillos
13;13;Bolívar;13580;13580;Regidor
13;13;Bolívar;13600;13600;Río Viejo
13;13;Bolívar;13620;13620;San Cristóbal
13;13;Bolívar;13647;13647;San Estanislao
13;13;Bolívar;13650;13650;San Fernando
13;13;Bolívar;13654;13654;San Jacinto
13;13;Bolívar;13655;13655;San Jacinto del Cauca
13;13;Bolívar;13657;13657;San Juan Nepomuceno
13;13;Bolívar;13667;13667;San Martín de Loba
13;13;Bolívar;13670;13670;San Pablo
13;13;Bolívar;13673;13673;Santa Catalina
13;13;Bolívar;13683;13683;Santa Rosa
13;13;Bolívar;13688;13688;Santa Rosa del Sur
13;13;Bolívar;13744;13744;Simití
13;13;Bolívar;13760;13760;Soplaviento
13;13;Bolívar;13780;13780;Talaigua Nuevo
13;13;Bolívar;13810;13810;Tiquisio
13;13;Bolívar;13836;13836;Turbaco
13;13;Bolívar;13838;13838;Turbaná
13;13;Bolívar;13873;13873;Villanueva
13;13;Bolívar;13894;13894;Zambrano
15;15;Boyacá;15001;15001;Tunja
15;15;Boyacá;15022;15022;Almeida
15;15;Boyacá;15047;15047;Aquitania
15;15;Boyacá;15051;15051;Arcabuco
15;15;Boyacá;15087;15087;Belén
15;15;Boyacá;15090;15090;Berbeo
15;15;Boyacá;15092;15092;Betéitiva
15;15;Boyacá;15097;15097;Boavita
15;15;Boyacá;15104;15104;Boyacá
15;15;Boyacá;15106;15106;Briceño
15;15;Boyacá;15109;15109;Buenavista
15;15;Boyacá;15114;15114;Busbanzá
15;15;Boyacá;15131;15131;Caldas
15;15;Boyacá;15135;15135;Campohermoso
15;15;Boyacá;15162;15162;Cerinza
15;15;Boyacá;15172;15172;Chinavita
15;15;Boyacá;15176;15176;Chiquinquirá
15;15;Boyacá;15180;15180;Chiscas
15;15;Boyacá;15183;15183;Chita
15;15;Boyacá;15185;15185;Chitaraque
15;15;Boyacá;15187;15187;Chivatá
15;15;Boyacá;15189;15189;Ciénega
15;15;Boyacá;15204;15204;Cómbita
15;15;Boyacá;15212;15212;Coper
15;15;Boyacá;15215;15215;Corrales
15;15;Boyacá;15218;15218;Covarachía
15;15;Boyacá;15223;15223;Cubará
15;15;Boyacá;15224;15224;Cucaita
15;15;Boyacá;15226;15226;Cuítiva
15;15;Boyacá;15232;15232;Chíquiza
15;15;Boyacá;15236;15236;Chivor
15;15;Boyacá;15238;15238;Duitama
15;15;Boyacá;15244;15244;El Cocuy
15;15;Boyacá;15248;15248;El Espino
15;15;Boyacá;15272;15272;Firavitoba
15;15;Boyacá;15276;15276;Floresta
15;15;Boyacá;15293;15293;Gachantivá
15;15;Boyacá;15296;15296;Gameza
15;15;Boyacá;15299;15299;Garagoa
15;15;Boyacá;15317;15317;Guacamayas
15;15;Boyacá;15322;15322;Guateque
15;15;Boyacá;15325;15325;Guayatá
15;15;Boyacá;15332;15332;Güicán
15;15;Boyacá;15362;15362;Iza
15;15;Boyacá;15367;15367;Jenesano
15;15;Boyacá;15368;15368;Jericó
15;15;Boyacá;15377;15377;Labranzagrande
15;15;Boyacá;15380;15380;La Capilla
15;15;Boyacá;15401;15401;La Victoria
15;15;Boyacá;15403;15403;La Uvita
15;15;Boyacá;15407;15407;Villa de Leyva
15;15;Boyacá;15425;15425;Macanal
15;15;Boyacá;15442;15442;Maripí
15;15;Boyacá;15455;15455;Miraflores
15;15;Boyacá;15464;15464;Mongua
15;15;Boyacá;15466;15466;Monguí
15;15;Boyacá;15469;15469;Moniquirá
15;15;Boyacá;15476;15476;Motavita
15;15;Boyacá;15480;15480;Muzo
15;15;Boyacá;15491;15491;Nobsa
15;15;Boyacá;15494;15494;Nuevo Colón
15;15;Boyacá;15500;15500;Oicatá
15;15;Boyacá;15507;15507;Otanche
15;15;Boyacá;15511;15511;Pachavita
15;15;Boyacá;15514;15514;Páez
15;15;Boyacá;15516;15516;Paipa
15;15;Boyacá;15518;15518;Pajarito
15;15;Boyacá;15522;15522;Panqueba
15;15;Boyacá;15531;15531;Pauna
15;15;Boyacá;15533;15533;Paya
15;15;Boyacá;15537;15537;Paz de Río
15;15;Boyacá;15542;15542;Pesca
15;15;Boyacá;15550;15550;Pisba
15;15;Boyacá;15572;15572;Puerto Boyacá
15;15;Boyacá;15580;15580;Quípama
15;15;Boyacá;15599;15599;Ramiriquí
15;15;Boyacá;15600;15600;Ráquira
15;15;Boyacá;15621;15621;Rondón
15;15;Boyacá;15632;15632;Saboyá
15;15;Boyacá;15638;15638;Sáchica
15;15;Boyacá;15646;15646;Samacá
15;15;Boyacá;15660;15660;San Eduardo
15;15;Boyacá;15664;15664;San José de Pare
15;15;Boyacá;15667;15667;San Luis de Gaceno
15;15;Boyacá;15673;15673;San Mateo
15;15;Boyacá;15676;15676;San Miguel de Sema
15;15;Boyacá;15681;15681;San Pablo de Borbur
15;15;Boyacá;15686;15686;Santana
15;15;Boyacá;15690;15690;Santa María
15;15;Boyacá;15693;15693;Santa Rosa de Viterbo
15;15;Boyacá;15696;15696;Santa Sofía
15;15;Boyacá;15720;15720;Sativanorte
15;15;Boyacá;15723;15723;Sativasur
15;15;Boyacá;15740;15740;Siachoque
15;15;Boyacá;15753;15753;Soatá
15;15;Boyacá;15755;15755;Socotá
15;15;Boyacá;15757;15757;Socha
15;15;Boyacá;15759;15759;Sogamoso
15;15;Boyacá;15761;15761;Somondoco
15;15;Boyacá;15762;15762;Sora
15;15;Boyacá;15763;15763;Sotaquirá
15;15;Boyacá;15764;15764;Soracá
15;15;Boyacá;15774;15774;Susacón
15;15;Boyacá;15776;15776;Sutamarchán
15;15;Boyacá;15778;15778;Sutatenza
15;15;Boyacá;15790;15790;Tasco
15;15;Boyacá;15798;15798;Tenza
15;15;Boyacá;15804;15804;Tibaná
15;15;Boyacá;15806;15806;Tibasosa
15;15;Boyacá;15808;15808;Tinjacá
15;15;Boyacá;15810;15810;Tipacoque
15;15;Boyacá;15814;15814;Toca
15;15;Boyacá;15816;15816;Togüí
15;15;Boyacá;15820;15820;Tópaga
15;15;Boyacá;15822;15822;Tota
15;15;Boyacá;15832;15832;Tununguá
15;15;Boyacá;15835;15835;Turmequé
15;15;Boyacá;15837;15837;Tuta
15;15;Boyacá;15839;15839;Tutazá
15;15;Boyacá;15842;15842;Umbita
15;15;Boyacá;15861;15861;Ventaquemada
15;15;Boyacá;15879;15879;Viracachá
15;15;Boyacá;15897;15897;Zetaquira
17;17;Caldas;17001;17001;Manizales
17;17;Caldas;17013;17013;Aguadas
17;17;Caldas;17042;17042;Anserma
17;17;Caldas;17050;17050;Aranzazu
17;17;Caldas;17088;17088;Belalcázar
17;17;Caldas;17174;17174;Chinchiná
17;17;Caldas;17272;17272;Filadelfia
17;17;Caldas;17380;17380;La Dorada
17;17;Caldas;17388;17388;La Merced
17;17;Caldas;17433;17433;Manzanares
17;17;Caldas;17442;17442;Marmato
17;17;Caldas;17444;17444;Marquetalia
17;17;Caldas;17446;17446;Marulanda
17;17;Caldas;17486;17486;Neira
17;17;Caldas;17495;17495;Norcasia
17;17;Caldas;17513;17513;Pácora
17;17;Caldas;17524;17524;Palestina
17;17;Caldas;17541;17541;Pensilvania
17;17;Caldas;17614;17614;Riosucio
17;17;Caldas;17616;17616;Risaralda
17;17;Caldas;17653;17653;Salamina
17;17;Caldas;17662;17662;Samaná
17;17;Caldas;17665;17665;San José
17;17;Caldas;17777;17777;Supía
17;17;Caldas;17867;17867;Victoria
17;17;Caldas;17873;17873;Villamaría
17;17;Caldas;17877;17877;Viterbo
18;18;Caquetá;18001;18001;Florencia
18;18;Caquetá;18029;18029;Albania
18;18;Caquetá;18094;18094;Belén de Los Andaquies
18;18;Caquetá;18150;18150;Cartagena del Chairá
18;18;Caquetá;18205;18205;Curillo
18;18;Caquetá;18247;18247;El Doncello
18;18;Caquetá;18256;18256;El Paujil
18;18;Caquetá;18410;18410;La Montañita
18;18;Caquetá;18460;18460;Milán
18;18;Caquetá;18479;18479;Morelia
18;18;Caquetá;18592;18592;Puerto Rico
18;18;Caquetá;18610;18610;San José del Fragua
18;18;Caquetá;18753;18753;San Vicente del Caguán
18;18;Caquetá;18756;18756;Solano
18;18;Caquetá;18785;18785;Solita
18;18;Caquetá;18860;18860;Valparaíso
19;19;Cauca;19001;19001;Popayán
19;19;Cauca;19022;19022;Almaguer
19;19;Cauca;19050;19050;Argelia
19;19;Cauca;19075;19075;Balboa
19;19;Cauca;19100;19100;Bolívar
19;19;Cauca;19110;19110;Buenos Aires
19;19;Cauca;19130;19130;Cajibío
19;19;Cauca;19137;19137;Caldono
19;19;Cauca;19142;19142;Caloto
19;19;Cauca;19212;19212;Corinto
19;19;Cauca;19256;19256;El Tambo
19;19;Cauca;19290;19290;Florencia
19;19;Cauca;19318;19318;Guapi
19;19;Cauca;19355;19355;Inzá
19;19;Cauca;19364;19364;Jambaló
19;19;Cauca;19392;19392;La Sierra
19;19;Cauca;19397;19397;La Vega
19;19;Cauca;19418;19418;López
19;19;Cauca;19450;19450;Mercaderes
19;19;Cauca;19455;19455;Miranda
19;19;Cauca;19473;19473;Morales
19;19;Cauca;19513;19513;Padilla
19;19;Cauca;19517;19517;Paez
19;19;Cauca;19532;19532;Patía
19;19;Cauca;19533;19533;Piamonte
19;19;Cauca;19548;19548;Piendamó
19;19;Cauca;19573;19573;Puerto Tejada
19;19;Cauca;19585;19585;Puracé
19;19;Cauca;19622;19622;Rosas
19;19;Cauca;19693;19693;San Sebastián
19;19;Cauca;19698;19698;Santander de Quilichao
19;19;Cauca;19701;19701;Santa Rosa
19;19;Cauca;19743;19743;Silvia
19;19;Cauca;19760;19760;Sotara
19;19;Cauca;19780;19780;Suárez
19;19;Cauca;19785;19785;Sucre
19;19;Cauca;19807;19807;Timbío
19;19;Cauca;19809;19809;Timbiquí
19;19;Cauca;19821;19821;Toribio
19;19;Cauca;19824;19824;Totoró
19;19;Cauca;19845;19845;Villa Rica
20;20;Cesar;20001;20001;Valledupar
20;20;Cesar;20011;20011;Aguachica
20;20;Cesar;20013;20013;Agustín Codazzi
20;20;Cesar;20032;20032;Astrea
20;20;Cesar;20045;20045;Becerril
20;20;Cesar;20060;20060;Bosconia
20;20;Cesar;20175;20175;Chimichagua
20;20;Cesar;20178;20178;Chiriguaná
20;20;Cesar;20228;20228;Curumaní
20;20;Cesar;20238;20238;El Copey
20;20;Cesar;20250;20250;El Paso
20;20;Cesar;20295;20295;Gamarra
20;20;Cesar;20310;20310;González
20;20;Cesar;20383;20383;La Gloria
20;20;Cesar;20400;20400;La Jagua de Ibirico
20;20;Cesar;20443;20443;Manaure
20;20;Cesar;20517;20517;Pailitas
20;20;Cesar;20550;20550;Pelaya
20;20;Cesar;20570;20570;Pueblo Bello
20;20;Cesar;20614;20614;Río de Oro
20;20;Cesar;20621;20621;La Paz
20;20;Cesar;20710;20710;San Alberto
20;20;Cesar;20750;20750;San Diego
20;20;Cesar;20770;20770;San Martín
20;20;Cesar;20787;20787;Tamalameque
23;23;Córdoba;23001;23001;Montería
23;23;Córdoba;23068;23068;Ayapel
23;23;Córdoba;23079;23079;Buenavista
23;23;Córdoba;23090;23090;Canalete
23;23;Córdoba;23162;23162;Cereté
23;23;Córdoba;23168;23168;Chimá
23;23;Córdoba;23182;23182;Chinú
23;23;Córdoba;23189;23189;Ciénaga de Oro
23;23;Córdoba;23300;23300;Cotorra
23;23;Córdoba;23350;23350;La Apartada
23;23;Córdoba;23417;23417;Lorica
23;23;Córdoba;23419;23419;Los Córdobas
23;23;Córdoba;23464;23464;Momil
23;23;Córdoba;23466;23466;Montelíbano
23;23;Córdoba;23500;23500;Moñitos
23;23;Córdoba;23555;23555;Planeta Rica
23;23;Córdoba;23570;23570;Pueblo Nuevo
23;23;Córdoba;23574;23574;Puerto Escondido
23;23;Córdoba;23580;23580;Puerto Libertador
23;23;Córdoba;23586;23586;Purísima
23;23;Córdoba;23660;23660;Sahagún
23;23;Córdoba;23670;23670;San Andrés Sotavento
23;23;Córdoba;23672;23672;San Antero
23;23;Córdoba;23675;23675;San Bernardo del Viento
23;23;Córdoba;23678;23678;San Carlos
23;23;Córdoba;23686;23686;San Pelayo
23;23;Córdoba;23807;23807;Tierralta
23;23;Córdoba;23855;23855;Valencia
25;25;Cundinamarca;25001;25001;Agua de Dios
25;25;Cundinamarca;25019;25019;Albán
25;25;Cundinamarca;25035;25035;Anapoima
25;25;Cundinamarca;25040;25040;Anolaima
25;25;Cundinamarca;25053;25053;Arbeláez
25;25;Cundinamarca;25086;25086;Beltrán
25;25;Cundinamarca;25095;25095;Bituima
25;25;Cundinamarca;25099;25099;Bojacá
25;25;Cundinamarca;25120;25120;Cabrera
25;25;Cundinamarca;25123;25123;Cachipay
25;25;Cundinamarca;25126;25126;Cajicá
25;25;Cundinamarca;25148;25148;Caparrapí
25;25;Cundinamarca;25151;25151;Caqueza
25;25;Cundinamarca;25154;25154;Carmen de Carupa
25;25;Cundinamarca;25168;25168;Chaguaní
25;25;Cundinamarca;25175;25175;Chía
25;25;Cundinamarca;25178;25178;Chipaque
25;25;Cundinamarca;25181;25181;Choachí
25;25;Cundinamarca;25183;25183;Chocontá
25;25;Cundinamarca;25200;25200;Cogua
25;25;Cundinamarca;25214;25214;Cota
25;25;Cundinamarca;25224;25224;Cucunubá
25;25;Cundinamarca;25245;25245;El Colegio
25;25;Cundinamarca;25258;25258;El Peñón
25;25;Cundinamarca;25260;25260;El Rosal
25;25;Cundinamarca;25269;25269;Facatativá
25;25;Cundinamarca;25279;25279;Fomeque
25;25;Cundinamarca;25281;25281;Fosca
25;25;Cundinamarca;25286;25286;Funza
25;25;Cundinamarca;25288;25288;Fúquene
25;25;Cundinamarca;25290;25290;Fusagasugá
25;25;Cundinamarca;25293;25293;Gachala
25;25;Cundinamarca;25295;25295;Gachancipá
25;25;Cundinamarca;25297;25297;Gachetá
25;25;Cundinamarca;25299;25299;Gama
25;25;Cundinamarca;25307;25307;Girardot
25;25;Cundinamarca;25312;25312;Granada
25;25;Cundinamarca;25317;25317;Guachetá
25;25;Cundinamarca;25320;25320;Guaduas
25;25;Cundinamarca;25322;25322;Guasca
25;25;Cundinamarca;25324;25324;Guataquí
25;25;Cundinamarca;25326;25326;Guatavita
25;25;Cundinamarca;25328;25328;Guayabal de Siquima
25;25;Cundinamarca;25335;25335;Guayabetal
25;25;Cundinamarca;25339;25339;Gutiérrez
25;25;Cundinamarca;25368;25368;Jerusalén
25;25;Cundinamarca;25372;25372;Junín
25;25;Cundinamarca;25377;25377;La Calera
25;25;Cundinamarca;25386;25386;La Mesa
25;25;Cundinamarca;25394;25394;La Palma
25;25;Cundinamarca;25398;25398;La Peña
25;25;Cundinamarca;25402;25402;La Vega
25;25;Cundinamarca;25407;25407;Lenguazaque
25;25;Cundinamarca;25426;25426;Macheta
25;25;Cundinamarca;25430;25430;Madrid
25;25;Cundinamarca;25436;25436;Manta
25;25;Cundinamarca;25438;25438;Medina
25;25;Cundinamarca;25473;25473;Mosquera
25;25;Cundinamarca;25483;25483;Nariño
25;25;Cundinamarca;25486;25486;Nemocón
25;25;Cundinamarca;25488;25488;Nilo
25;25;Cundinamarca;25489;25489;Nimaima
25;25;Cundinamarca;25491;25491;Nocaima
25;25;Cundinamarca;25506;25506;Venecia
25;25;Cundinamarca;25513;25513;Pacho
25;25;Cundinamarca;25518;25518;Paime
25;25;Cundinamarca;25524;25524;Pandi
25;25;Cundinamarca;25530;25530;Paratebueno
25;25;Cundinamarca;25535;25535;Pasca
25;25;Cundinamarca;25572;25572;Puerto Salgar
25;25;Cundinamarca;25580;25580;Pulí
25;25;Cundinamarca;25592;25592;Quebradanegra
25;25;Cundinamarca;25594;25594;Quetame
25;25;Cundinamarca;25596;25596;Quipile
25;25;Cundinamarca;25599;25599;Apulo
25;25;Cundinamarca;25612;25612;Ricaurte
25;25;Cundinamarca;25645;25645;San Antonio del Tequendama
25;25;Cundinamarca;25649;25649;San Bernardo
25;25;Cundinamarca;25653;25653;San Cayetano
25;25;Cundinamarca;25658;25658;San Francisco
25;25;Cundinamarca;25662;25662;San Juan de Río Seco
25;25;Cundinamarca;25718;25718;Sasaima
25;25;Cundinamarca;25736;25736;Sesquilé
25;25;Cundinamarca;25740;25740;Sibaté
25;25;Cundinamarca;25743;25743;Silvania
25;25;Cundinamarca;25745;25745;Simijaca
25;25;Cundinamarca;25754;25754;Soacha
25;25;Cundinamarca;25758;25758;Sopó
25;25;Cundinamarca;25769;25769;Subachoque
25;25;Cundinamarca;25772;25772;Suesca
25;25;Cundinamarca;25777;25777;Supatá
25;25;Cundinamarca;25779;25779;Susa
25;25;Cundinamarca;25781;25781;Sutatausa
25;25;Cundinamarca;25785;25785;Tabio
25;25;Cundinamarca;25793;25793;Tausa
25;25;Cundinamarca;25797;25797;Tena
25;25;Cundinamarca;25799;25799;Tenjo
25;25;Cundinamarca;25805;25805;Tibacuy
25;25;Cundinamarca;25807;25807;Tibirita
25;25;Cundinamarca;25815;25815;Tocaima
25;25;Cundinamarca;25817;25817;Tocancipá
25;25;Cundinamarca;25823;25823;Topaipí
25;25;Cundinamarca;25839;25839;Ubalá
25;25;Cundinamarca;25841;25841;Ubaque
25;25;Cundinamarca;25843;25843;Villa de San Diego de Ubate
25;25;Cundinamarca;25845;25845;Une
25;25;Cundinamarca;25851;25851;Útica
25;25;Cundinamarca;25862;25862;Vergara
25;25;Cundinamarca;25867;25867;Vianí
25;25;Cundinamarca;25871;25871;Villagómez
